Start Station Name,Avg. Trip Duration,Count of Ride Id
York St & Marin Blvd,38.232464029,556
Willow Ave & 12 St,13.158933291,9459
Washington St,18.099281505,15101
Warren St,16.853740945,13575
Van Vorst Park,15.851894080,10744
Union St,48.367877287,2423
Stevens - River Ter & 6 St,15.700529773,7865
Southwest Park - Jackson St & Observer Hwy,12.294636098,9247
South Waterfront Walkway - Sinatra Dr & 1 St,22.939724534,34245
Sip Ave,16.680299401,10020
Riverview Park,19.443993877,6424
Pershing Field,25.565197031,6691
Paulus Hook,18.407882673,9671
Oakland Ave,13.970128700,6475
Newport Pkwy,19.591931151,21961
Newport PATH,16.212205526,19965
Newark Ave,16.410351584,12164
MTL-ECO5-LAB,2.3,2
Morris Canal,19.605542155,8706
Montgomery St,17.037917468,5719
Monmouth and 6th,11.410188286,6869
McGinley Square,14.944232794,10132
Marshall St & 2 St,14.254495967,8389
Marin Light Rail,18.909567516,19230
Manila & 1st,13.544626724,10515
Mama Johnson Field - 4 St & Jackson St,17.040444778,5988
Madison St & 10 St,12.720235889,8634
Madison St & 1 St,11.784244312,14124
Lincoln Park,34.140390631,4369
Liberty Light Rail,34.121940305,14563
Leonard Gordon Park,22.885376416,4503
Lafayette Park,21.625446950,7141
Journal Square,16.035721004,7797
Jersey & 6th St,12.624132256,6684
Jersey & 3rd,13.131803742,8499
JCBS Depot,8.35,2
JC Medical Center,24.544124880,10031
Jackson Square,62.897800394,1523
Hudson St & 4 St,17.949966421,15883
Hoboken Terminal - River St & Hudson Pl,15.445318999,33020
Hoboken Terminal - Hudson St & Hudson Pl,13.116954327,30244
Hoboken Ave at Monmouth St,15.050190589,19501
Hilltop,19.960209180,7139
Heights Elevator,20.970306294,4364
Harborside,14.505184927,15754
Hamilton Park,14.119287493,20477
Grove St PATH,13.226053122,42556
Grant Ave & MLK Dr,85.739837398,615
Grand St & 14 St,15.157421749,11363
Grand St,16.184332485,10609
Glenwood Ave,18.971586565,3662
Fairmount Ave,17.871951848,5178
Essex Light Rail,23.878676680,5859
Dixon Mills,14.313056319,6546
Dey St,14.973281711,2260
Communipaw & Berry Lane,33.469012517,3595
Columbus Park - Clinton St & 9 St,13.851863424,11842
Columbus Drive,16.460275723,11219
Columbus Dr at Exchange Pl,19.186334748,16731
Clinton St & Newark St,14.185279358,11425
Clinton St & 7 St,13.403931894,11394
City Hall - Washington St & 1 St,17.144057996,23289
City Hall,18.511368912,14072
Church Sq Park - 5 St & Park Ave,15.660772033,11895
Christ Hospital,16.282811600,5207
Brunswick St,13.403890071,8933
Brunswick & 6th,11.887002732,8907
Bloomfield St & 15 St,23.377795369,9790
Bergen Ave & Stegman St,126.038367072,1235
Bergen Ave & Sip Ave,13.345724454,10256
Bergen Ave,15.981103054,6068
Baldwin at Montgomery,16.982570678,8501
Astor Place,20.170032085,4779
Adams St & 11 St,16.997007197,5697
Adams St & 2 St,14.183957210,9270
14 St Ferry - 14 St & Shipyard Ln,25.639655846,17066
12 St & Sinatra Dr N,30.689674389,17137
11 St & Washington St,16.012769320,15502
9 St HBLR - Jackson St & 8 St,16.977049852,10578
8 St & Washington St,14.020156463,14423
7 St & Monroe St,13.371925352,10199
6 St & Grand St,14.112706517,8030
5 Corners Library,18.251150181,3043
4 St & Grand St,11.858874083,10356
