Hour of Started At,Weekday of Started At,Count of Ride Id
23,Saturday,4002
22,Saturday,4255
21,Saturday,4753
20,Saturday,6298
19,Saturday,8123
18,Saturday,9032
17,Saturday,9851
16,Saturday,10016
15,Saturday,10264
14,Saturday,9981
13,Saturday,10456
12,Saturday,10160
11,Saturday,9415
10,Saturday,8038
9,Saturday,6289
8,Saturday,3887
7,Saturday,2122
6,Saturday,1070
5,Saturday,559
4,Saturday,421
3,Saturday,813
2,Saturday,1419
1,Saturday,2407
0,Saturday,3197
23,Friday,4147
22,Friday,4788
21,Friday,5317
20,Friday,6971
19,Friday,9999
18,Friday,12489
17,Friday,12462
16,Friday,10159
15,Friday,8853
14,Friday,7548
13,Friday,7186
12,Friday,6511
11,Friday,5471
10,Friday,4564
9,Friday,5324
8,Friday,7599
7,Friday,5858
6,Friday,3328
5,Friday,1074
4,Friday,406
3,Friday,256
2,Friday,435
1,Friday,837
0,Friday,1540
23,Thursday,2843
22,Thursday,4282
21,Thursday,5879
20,Thursday,7959
19,Thursday,10788
18,Thursday,14663
17,Thursday,13267
16,Thursday,8631
15,Thursday,6889
14,Thursday,5819
13,Thursday,5373
12,Thursday,5448
11,Thursday,4556
10,Thursday,4329
9,Thursday,5749
8,Thursday,10063
7,Thursday,7540
6,Thursday,3899
5,Thursday,1373
4,Thursday,355
3,Thursday,173
2,Thursday,286
1,Thursday,535
0,Thursday,1221
23,Wednesday,2252
22,Wednesday,4053
21,Wednesday,5766
20,Wednesday,7865
19,Wednesday,11492
18,Wednesday,15145
17,Wednesday,14162
16,Wednesday,9096
15,Wednesday,6955
14,Wednesday,5616
13,Wednesday,5451
12,Wednesday,5264
11,Wednesday,4401
10,Wednesday,3921
9,Wednesday,5587
8,Wednesday,10544
7,Wednesday,8238
6,Wednesday,4312
5,Wednesday,1448
4,Wednesday,315
3,Wednesday,175
2,Wednesday,254
1,Wednesday,447
0,Wednesday,944
23,Tuesday,1860
22,Tuesday,3373
21,Tuesday,4800
20,Tuesday,6868
19,Tuesday,10414
18,Tuesday,14502
17,Tuesday,13698
16,Tuesday,8430
15,Tuesday,6480
14,Tuesday,5362
13,Tuesday,5118
12,Tuesday,4926
11,Tuesday,4058
10,Tuesday,3965
9,Tuesday,5095
8,Tuesday,10161
7,Tuesday,8413
6,Tuesday,4297
5,Tuesday,1481
4,Tuesday,413
3,Tuesday,158
2,Tuesday,205
1,Tuesday,475
0,Tuesday,897
23,Monday,1807
22,Monday,3246
21,Monday,4566
20,Monday,6478
19,Monday,9246
18,Monday,12168
17,Monday,11802
16,Monday,8259
15,Monday,6815
14,Monday,5889
13,Monday,5563
12,Monday,5493
11,Monday,4869
10,Monday,4237
9,Monday,4827
8,Monday,7836
7,Monday,6076
6,Monday,3048
5,Monday,1128
4,Monday,341
3,Monday,181
2,Monday,256
1,Monday,562
0,Monday,996
23,Sunday,1714
22,Sunday,2846
21,Sunday,3656
20,Sunday,5433
19,Sunday,7282
18,Sunday,8615
17,Sunday,9395
16,Sunday,9494
15,Sunday,9360
14,Sunday,9026
13,Sunday,9036
12,Sunday,8879
11,Sunday,8070
10,Sunday,6961
9,Sunday,4973
8,Sunday,3009
7,Sunday,1461
6,Sunday,741
5,Sunday,509
4,Sunday,370
3,Sunday,795
2,Sunday,1670
1,Sunday,2400
0,Sunday,3079
