"""Number of Trips""",March Days,Year of Starttime,Running Sum of Number of Records
Number of Trips,1,2018,45564
Number of Trips,2,2018,52419
Number of Trips,3,2018,80783
Number of Trips,4,2018,106045
Number of Trips,5,2018,142819
Number of Trips,6,2018,185508
Number of Trips,7,2018,193696
Number of Trips,8,2018,222136
Number of Trips,9,2018,257048
Number of Trips,10,2018,282492
Number of Trips,11,2018,310089
Number of Trips,12,2018,346429
Number of Trips,13,2018,369566
Number of Trips,14,2018,404943
Number of Trips,15,2018,444517
Number of Trips,16,2018,479438
Number of Trips,17,2018,507110
Number of Trips,18,2018,532268
Number of Trips,19,2018,571546
Number of Trips,20,2018,607078
Number of Trips,21,2018,610833
Number of Trips,22,2018,638141
Number of Trips,23,2018,676669
Number of Trips,24,2018,711067
Number of Trips,25,2018,736629
Number of Trips,26,2018,776924
Number of Trips,27,2018,818278
Number of Trips,28,2018,860798
Number of Trips,29,2018,900091
Number of Trips,30,2018,934878
Number of Trips,31,2018,976672
Number of Trips,1,2019,30233
Number of Trips,2,2019,48234
Number of Trips,3,2019,71473
Number of Trips,4,2019,99894
Number of Trips,5,2019,136991
Number of Trips,6,2019,170270
Number of Trips,7,2019,206177
Number of Trips,8,2019,246583
Number of Trips,9,2019,285511
Number of Trips,10,2019,304408
Number of Trips,11,2019,356821
Number of Trips,12,2019,404028
Number of Trips,13,2019,454148
Number of Trips,14,2019,511614
Number of Trips,15,2019,569120
Number of Trips,16,2019,611258
Number of Trips,17,2019,648082
Number of Trips,18,2019,694614
Number of Trips,19,2019,747595
Number of Trips,20,2019,802974
Number of Trips,21,2019,824212
Number of Trips,22,2019,859675
Number of Trips,23,2019,897050
Number of Trips,24,2019,947362
Number of Trips,25,2019,1000813
Number of Trips,26,2019,1056227
Number of Trips,27,2019,1110700
Number of Trips,28,2019,1169229
Number of Trips,29,2019,1228536
Number of Trips,30,2019,1295198
Number of Trips,31,2019,1327960
Number of Trips,1,2020,31878
Number of Trips,2,2020,88824
Number of Trips,3,2020,138547
Number of Trips,4,2020,197217
Number of Trips,5,2020,255903
Number of Trips,6,2020,290038
Number of Trips,7,2020,329486
Number of Trips,8,2020,376480
Number of Trips,9,2020,445248
Number of Trips,10,2020,509525
Number of Trips,11,2020,571341
Number of Trips,12,2020,622673
Number of Trips,13,2020,666016
Number of Trips,14,2020,710255
Number of Trips,15,2020,746395
Number of Trips,16,2020,775876
Number of Trips,17,2020,800207
Number of Trips,18,2020,830703
Number of Trips,19,2020,851545
Number of Trips,20,2020,882872
Number of Trips,21,2020,914584
Number of Trips,22,2020,934475
Number of Trips,23,2020,938474
Number of Trips,24,2020,959337
Number of Trips,25,2020,971403
Number of Trips,26,2020,993399
Number of Trips,27,2020,1019903
Number of Trips,28,2020,1028774
Number of Trips,29,2020,1038420
Number of Trips,30,2020,1053461
Number of Trips,31,2020,1068457
